Avg_Lifetime_Value,Total_Claim_Amount,Total_Policies,Avg_Monthly_Premium,Avg_Income,Total_Positive_Responses,Avg_Open_Complaints,Avg_Months_Since_Claim,High_Value_Customer,Cross_Sell_Potential,Engaged_Customer,Recency_Since_Last_Policy,Potential_Revenue_Increase,State,Coverage,Education,EmploymentStatus,Vehicle_Class,Premium_Affordability,Risk_Category,Retention_Risk,Cluster
4719.450052,86.320022,1.0,121.0,89642.0,0,4.0,11.0,0,0,0,20,0.0,Oregon,Extended,College,Employed,SUV,High,Low,High,"High Income, Moderate Engagement"
2174.111987,468.0,1.0,65.0,16997.0,0,3.0,35.0,0,0,0,62,0.0,Oregon,Basic,High School or Below,Retired,Two-Door Car,High,Medium,High,"High Income, Moderate Engagement"
4673.196379,561.6,1.0,117.0,53219.0,0,0.0,24.0,0,0,0,36,0.0,California,Basic,College,Employed,SUV,High,Medium,Low,"High Income, Moderate Engagement"
7803.503824,139.714897,7.0,98.0,84417.0,0,0.0,5.0,0,1,0,32,98.0,Nevada,Extended,High School or Below,Employed,Two-Door Car,High,Low,Low,"Moderate Income, Lower Cross-Sell Potential"
5623.314472,340.8,5.0,71.0,11612.0,0,0.0,20.0,0,1,0,92,71.0,Arizona,Basic,Bachelor,Disabled,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
4228.248035,165.237444,1.0,106.0,77853.0,0,0.0,12.0,0,0,0,76,0.0,Arizona,Basic,High School or Below,Employed,SUV,High,Medium,Low,"High Income, Moderate Engagement"
16414.039911750002,547.2,2.0,114.0,37455.0,0,0.0,13.0,1,0,0,57,0.0,California,Basic,High School or Below,Employed,SUV,High,Medium,Low,Stable Revenue Contributors
4877.61238,420.39344,5.0,66.0,0.0,0,0.0,4.0,0,1,0,30,66.0,Nevada,Basic,High School or Below,Unemployed,Two-Door Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
7992.779105,297.051768,2.0,66.0,35434.0,0,0.0,19.0,0,0,0,26,0.0,Nevada,Basic,College,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
12887.43165,566.472247,2.0,108.0,48767.0,0,0.0,18.0,1,0,0,38,0.0,Nevada,Premium,Bachelor,Employed,Two-Door Car,High,Medium,Low,Stable Revenue Contributors
2593.897887,345.6,1.0,72.0,0.0,0,0.0,31.0,0,0,0,99,0.0,Washington,Basic,High School or Below,Unemployed,Four-Door Car,Low,Medium,Low,"High Income, Moderate Engagement"
16414.039911750002,663.643801,2.0,116.0,75425.0,0,1.0,25.0,1,0,0,88,0.0,Nevada,Basic,College,Employed,Sports Car,High,Medium,Medium,Stable Revenue Contributors
2689.16845,391.687368,1.0,68.0,26554.0,0,1.0,18.0,0,0,0,86,0.0,Arizona,Basic,College,Employed,Two-Door Car,High,Medium,Medium,"High Income, Moderate Engagement"
16414.039911750002,456.0,2.0,95.0,22510.0,0,0.0,19.0,1,0,0,48,0.0,Nevada,Extended,High School or Below,Medical Leave,Four-Door Car,High,Medium,Low,Stable Revenue Contributors
3933.813993,674.973614,1.0,103.0,25927.0,1,0.0,6.0,0,0,1,20,0.0,California,Basic,High School or Below,Employed,SUV,High,Medium,Low,Balanced Portfolio
6756.651404,221.856184,8.5,86.0,33288.0,0,2.0,1.0,0,1,0,27,86.0,Arizona,Extended,Master,Employed,Four-Door Car,High,Medium,Medium,"Moderate Income, Lower Cross-Sell Potential"
2829.312319,345.6,1.0,72.0,25860.0,0,0.0,12.0,0,0,0,46,0.0,Oregon,Basic,Bachelor,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
2396.219292,433.160284,1.0,66.0,0.0,1,2.0,6.0,0,0,1,71,0.0,California,Basic,Bachelor,Unemployed,Four-Door Car,Low,Medium,Medium,Balanced Portfolio
14260.91441,204.121476,2.0,99.0,0.0,0,0.0,2.0,1,0,0,30,0.0,California,Extended,College,Unemployed,Two-Door Car,Low,Medium,Low,Stable Revenue Contributors
6514.430592,98.372265,8.0,84.0,77135.0,0,3.0,3.0,0,1,0,37,84.0,Oregon,Extended,High School or Below,Employed,Four-Door Car,High,Low,High,"Moderate Income, Lower Cross-Sell Potential"
7349.32849,565.336931,8.0,93.0,27072.0,0,0.0,24.0,0,1,0,27,93.0,Arizona,Extended,High School or Below,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
11009.13049,960.399730125,1.0,170.5,51643.0,1,0.0,16.0,1,0,1,43,0.0,California,Premium,Bachelor,Employed,Luxury Car,High,High,Low,Balanced Portfolio
10130.93442,408.0,2.0,85.0,59232.0,0,0.0,6.0,1,0,0,75,0.0,Arizona,Extended,Doctor,Employed,Two-Door Car,High,Medium,Low,Stable Revenue Contributors
2272.30731,286.124652,1.0,64.0,0.0,0,0.0,35.0,0,0,0,59,0.0,California,Basic,Master,Unemployed,Four-Door Car,Low,Medium,Low,"High Income, Moderate Engagement"
5801.828142,597.6,4.0,83.0,0.0,0,0.0,17.0,0,1,0,28,83.0,Washington,Extended,Bachelor,Unemployed,Four-Door Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
3853.473448,792.0,1.0,110.0,0.0,0,0.0,13.0,0,0,0,3,0.0,California,Basic,College,Unemployed,SUV,Low,High,Low,"High Income, Moderate Engagement"
16414.039911750002,960.399730125,2.0,170.5,18047.0,0,0.0,5.0,1,0,0,50,0.0,Oregon,Extended,Bachelor,Medical Leave,Luxury SUV,Medium,High,Low,Stable Revenue Contributors
5535.963648,691.697458,1.0,138.0,84863.0,0,0.0,28.0,0,0,0,40,0.0,California,Extended,Bachelor,Employed,SUV,High,Medium,Low,"High Income, Moderate Engagement"
5601.138061,99.509191,8.0,71.0,42360.0,0,0.0,29.0,0,1,0,62,71.0,California,Basic,High School or Below,Employed,Four-Door Car,High,Low,Low,"Moderate Income, Lower Cross-Sell Potential"
2491.317024,67.530904,1.0,62.0,36631.0,1,0.0,30.0,0,0,1,77,0.0,Oregon,Basic,Doctor,Employed,Four-Door Car,High,Low,Low,Balanced Portfolio
16414.039911750002,960.399730125,2.0,170.5,21070.0,0,0.0,6.0,1,0,0,47,0.0,California,Premium,College,Disabled,Sports Car,Medium,High,Low,Stable Revenue Contributors
8207.858272,686.90827,5.0,110.0,0.0,0,0.0,16.0,0,1,0,17,110.0,Oregon,Basic,High School or Below,Unemployed,Sports Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
10171.47779,71.311211,2.0,84.0,74243.0,0,0.0,34.0,1,0,0,2,0.0,Oregon,Extended,Master,Employed,Four-Door Car,High,Low,Low,Stable Revenue Contributors
3911.118202,451.319227,1.0,97.0,30821.0,0,0.0,27.0,0,0,0,59,0.0,Oregon,Extended,Doctor,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
3746.751625,19.575683,1.0,94.0,41479.0,1,1.0,14.0,0,0,1,38,0.0,Oregon,Extended,College,Employed,Two-Door Car,High,Low,Medium,Balanced Portfolio
7373.225991,960.399730125,1.0,170.5,44938.0,0,0.0,7.0,0,0,0,37,0.0,California,Basic,College,Employed,Luxury Car,High,High,Low,"High Income, Moderate Engagement"
8310.704732,203.886869,6.0,104.0,67541.0,0,0.0,10.0,0,1,0,45,104.0,Nevada,Premium,Master,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
8730.421977,350.4,2.0,73.0,43259.0,0,0.0,12.0,0,0,0,18,0.0,California,Basic,High School or Below,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
3567.503755,660.430456,1.0,102.0,0.0,1,0.0,28.0,0,0,1,11,0.0,Oregon,Basic,Bachelor,Unemployed,SUV,Low,Medium,Low,Balanced Portfolio
3810.238281,777.6,1.0,108.0,0.0,0,0.0,7.0,0,0,0,57,0.0,Oregon,Premium,High School or Below,Unemployed,Four-Door Car,Low,High,Low,"High Income, Moderate Engagement"
6679.139606,655.2,5.0,91.0,0.0,0,0.0,3.0,0,1,0,94,91.0,California,Extended,High School or Below,Unemployed,Four-Door Car,Low,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
2903.939763,59.861963,1.0,73.0,67763.0,0,1.0,17.0,0,0,0,69,0.0,California,Basic,College,Employed,Four-Door Car,High,Low,Medium,"High Income, Moderate Engagement"
7218.375778,462.043003,3.0,90.0,45356.0,0,0.0,31.0,0,1,0,30,90.0,Arizona,Extended,Master,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
2913.493264,309.568636,1.0,72.0,89672.0,0,0.0,7.0,0,0,0,92,0.0,Arizona,Basic,College,Employed,Four-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
3123.080994,960.115399,1.0,101.0,0.0,1,4.0,1.0,0,0,1,83,0.0,California,Basic,Bachelor,Unemployed,SUV,Low,High,High,Balanced Portfolio
2707.429536,11.046789,1.0,67.0,51455.0,0,0.0,16.0,0,0,0,85,0.0,Oregon,Basic,College,Employed,Four-Door Car,High,Low,Low,"High Income, Moderate Engagement"
5225.03143,393.528054,5.0,66.0,57733.0,0,0.0,24.0,0,1,0,66,66.0,Oregon,Basic,College,Employed,Two-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
14131.12134,888.0,3.0,170.5,28327.0,0,0.0,29.0,1,1,0,26,180.0,California,Basic,High School or Below,Employed,Luxury Car,High,High,Low,Stable Revenue Contributors
3709.919724,960.399730125,1.0,112.0,0.0,0,0.0,13.0,0,0,0,33,0.0,California,Basic,Bachelor,Unemployed,SUV,Low,High,Low,"High Income, Moderate Engagement"
6680.146801,71.10847,6.0,87.0,24432.0,0,3.0,19.0,0,1,0,44,87.0,Oregon,Extended,Bachelor,Employed,Two-Door Car,High,Low,High,"Moderate Income, Lower Cross-Sell Potential"
4997.780688,132.947215,3.0,64.0,54827.0,0,0.0,17.0,0,1,0,88,64.0,California,Basic,College,Employed,Four-Door Car,High,Low,Low,"Moderate Income, Lower Cross-Sell Potential"
4477.45201,571.2,1.0,119.0,41402.0,0,4.0,26.0,0,0,0,26,0.0,Oregon,Basic,Bachelor,Employed,Sports Car,High,Medium,High,"High Income, Moderate Engagement"
5821.787383,355.2,3.0,74.0,60087.0,0,0.0,21.0,0,1,0,23,74.0,Arizona,Basic,Bachelor,Employed,Four-Door Car,High,Medium,Low,"Moderate Income, Lower Cross-Sell Potential"
15000.84238,507.560729,2.0,76.0,62473.0,0,1.0,6.0,1,0,0,70,0.0,Oregon,Extended,High School or Below,Employed,Four-Door Car,High,Medium,Medium,Stable Revenue Contributors
2279.696801,292.8,1.0,61.0,23253.0,0,0.0,20.0,0,0,0,49,0.0,Oregon,Basic,High School or Below,Medical Leave,Two-Door Car,High,Medium,Low,"High Income, Moderate Engagement"
2287.91729,238.530745,1.0,61.0,69024.0,0,5.0,27.0,0,0,0,32,0.0,Oregon,Basic,Bachelor,Employed,Four-Door Car,High,Medium,High,"High Income, Moderate Engagement"
